word,frequency
lamp,51
running,51
fast,50
outdated,50
center,50
mistake,50
chose,50
mould,50
drawer,50
including,50
question,50
avoid,50
completely,49
true,49
complained,49
daily,49
kitchen,49
smelly,49
positive,49
job,49
slow,49
stair,49
entire,49
health,49
honest,48
suitcase,48
hell,48
taxi,48
conditioning,48
unfortunately,48
wash,48
photo,48
helped,48
table,48
midtown,48
seems,48
pm,48
taking,48
road,48
nasty,48
traveller,48
cup,48
enjoy,47
movie,47
ill,47
wish,47
dingy,47
40,47
traveler,47
watch,47
roach,47
counter,47
total,47
name,47
past,46
dust,46
spending,46
certainly,46
immediately,46
accommodation,46
machine,46
checkout,46
theater,46
request,46
none,46
based,46
50,46
everyday,46
considering,46
pressure,46
word,45
youll,45
five,45
uncomfortable,45
set,45
deli,45
management,45
advance,45
important,44
arriving,44
cleanliness,44
amount,44
gross,44
con,44
bite,44
student,43
house,43
opened,43
evening,43
greeted,43
possible,43
theatre,43
thanks,43
trying,43
apart,43
blood,43
leaving,43
flat,43
screen,43
spoke,43
opposite,43
stand,43
beautiful,43
kid,42
hope,42
boyfriend,42
understand,42
complaining,42
tidy,42
idea,42
horror,42
cable,42
disappointed,42
dark,42
properly,42
obviously,42
refurbished,42
entered,42
arrive,42
visited,41
clerk,41
painted,41
surprise,41
hilton,41
served,41
otherwise,41
stuck,41
sound,41
bathtub,41
face,41
waited,41
woke,41
traveling,41
situation,41
voucher,41
simply,40
adequate,40
suite,40
chance,40
compared,40
spot,40
authority,40
reserved,40
asking,40
major,40
shampoo,40
neighborhood,40
liked,39
black,39
fit,39
seriously,39
concierge,39
october,39
directly,39
nervous,39
tour,39
child,39
ritz,39
trash,39
sort,39
24,39
god,39
bother,39
7th,39
television,39
fixed,39
pleased,39
taken,39
third,38
recommended,38
police,38
basically,38
elsewhere,38
port,38
prepared,38
2nd,38
nicer,38
twin,38
local,38
happened,38
vacation,38
dresser,38
town,38
west,38
upper,38
kiosk,38
sister,37
smoke,37
choose,37
hang,37
beyond,37
piece,37
unit,37
answer,37
buck,37
body,37
order,37
microwave,37
experienced,37
write,37
public,37
september,37
glad,37
computer,37
fix,36
dead,36
allowed,36
story,36
queen,36
sometimes,36
scary,36
fan,36
8th,36
live,36
attitude,36
informed,36
met,36
r,36
concerned,35
member,35
cheapest,35
3rd,35
clearly,35
priced,35
remember,35
mentioned,35
district,35
higher,35
tip,35
box,35
garbage,35
apparently,35
nightmare,35
supposed,35
plaza,35
easily,34
mention,34
information,34
5th,34
purpose,34
girlfriend,34
lower,34
feeling,34
level,34
sitting,34
bare,34
rating,34
advice,34
refused,34
age,34
quickly,33
partner,33
handle,33
whatever,33
cancel,33
fairly,33
list,33
agent,33
summer,33
comment,33
general,33
tap,33
sit,33
share,33
absolute,33
usually,33
nearly,32
hardly,32
outlet,32
hold,32
date,32
trouble,32
arent,32
efficient,32
4th,32
frill,32
lack,32
prior,32
system,32
heating,32
impression,32
entering,32
fully,32
enter,32
doorman,32
remodeled,32
requested,32
damp,32
pipe,32
unhelpful,32
funny,32
cash,32
forget,31
traveled,31
property,31
straight,31
eve,31
parking,31
heater,31
bought,31
fun,31
terminal,31
safety,31
crash,31
havent,31
type,31
following,31
ice,31
rug,31
till,31
luckily,31
notice,31
