word,frequency
low,15
sound,15
keurig,15
house,15
read,15
attentive,15
impressed,15
mini,15
glad,15
appointed,15
24,15
box,15
informed,15
delivered,15
wrong,15
understand,15
maintenance,15
son,15
2nd,15
ritz,15
broken,15
seen,15
budget,15
15,14
personal,14
arrive,14
paying,14
convenience,14
security,14
willing,14
jfk,14
meant,14
st,14
luxury,14
otherwise,14
past,14
slept,14
recommendation,14
hgi,14
public,14
margarita,14
conveniently,14
july,14
case,14
middle,14
horrible,14
cafe,14
disappointing,14
bill,14
avoid,14
temperature,14
basically,14
table,14
beer,14
yet,14
considering,14
taking,14
meet,14
longer,14
management,14
bite,14
hole,14
cocktail,14
older,14
honor,13
surprise,13
vacation,13
hold,13
course,13
terrific,13
tip,13
dinner,13
control,13
comfort,13
tax,13
updated,13
requested,13
usually,13
pm,13
turn,13
finally,13
internet,13
bartender,13
ideal,13
road,13
seems,13
1st,13
museum,13
mattress,13
superb,13
except,13
mentioned,13
exceptional,13
fact,13
move,13
conversation,13
moment,13
ride,13
sleeping,13
simply,13
matter,13
barely,13
worse,13
literally,12
third,12
bright,12
storage,12
leaving,12
kid,12
9th,12
tourist,12
empire,12
despite,12
accommodation,12
black,12
pleased,12
outlet,12
kitchen,12
package,12
previous,12
future,12
ill,12
half,12
sent,12
general,12
pressure,12
37th,12
office,12
4th,12
outdated,12
doylers,12
note,12
100,12
loud,12
pleasantly,12
might,12
traveling,12
ave,12
incredibly,12
wet,12
advance,12
particular,12
online,12
toiletry,12
expecting,12
fully,12
story,12
talking,12
ago,12
holiday,12
queen,12
diana,12
lady,12
cockroach,12
spotless,11
adequate,11
advertised,11
personnel,11
young,11
suggestion,11
local,11
driver,11
situated,11
neighborhood,11
tight,11
curtain,11
along,11
memorable,11
cynthia,11
newer,11
cleaner,11
system,11
assistance,11
enjoyable,11
11,11
advice,11
live,11
event,11
prior,11
head,11
50,11
youll,11
plug,11
pub,11
feature,11
served,11
item,11
difficult,11
crowded,11
throughout,11
fifth,11
blood,11
east,11
properly,11
joke,11
premier,11
anthony,11
breathtaking,11
cheapest,11
anywhere,10
reasonably,10
tidy,10
overnight,10
feeling,10
type,10
centrally,10
aware,10
wedding,10
proximity,10
perfectly,10
turned,10
keeping,10
chance,10
pod,10
bottled,10
iron,10
5pm,10
following,10
earlier,10
speak,10
number,10
transportation,10
metro,10
sightseeing,10
detail,10
using,10
complain,10
answered,10
pleasure,10
particularly,10
slightly,10
contacted,10
blind,10
afternoon,10
accessible,10
celebrate,10
shout,10
30,10
hardly,10
maybe,10
selection,10
word,10
arranged,10
hope,10
weve,10
equipped,10
2019,10
added,10
multiple,10
reading,10
save,10
2018,10
glass,10
oh,10
difference,10
fixed,10
ended,10
sister,10
200,10
moved,10
job,10
girl,10
obviously,10
stopped,10
clerk,10
nabila,10
stunning,10
update,10
experienced,10
