comfortable	0.20470280011570977
amazing	0.19239488008519173
great	0.18202735680760374
friendly	0.17443013486024642
loved	0.17050504151409296
best	0.1641755551645044
perfect	0.16173319591446686
enjoyed	0.15445720344775296
well	0.15437530078805348
excellent	0.154112585114626
clean	0.15155375286460301
nice	0.14352888281093126
nyc	0.13365935098963735
everything	0.13355254633960584
always	0.1331120724830696
good	0.13292456900117156
easy	0.1298945683555464
bit	0.1255256300819346
spacious	0.1248217173775092
helpful	0.12352845615714386
definitely	0.12220535536810717
wonderful	0.12198586754407831
lovely	0.118091181019498
city	0.11443323886937347
happy	0.11221505538541224
fantastic	0.11025126294820707
little	0.105681017104443
manhattan	0.10504082367254998
pleasant	0.10210488666140234
subway	0.1011136804284191
large	0.09808074092222221
thank	0.09735732511259426
love	0.09705372493559807
exceptional	0.09566074550966323
big	0.09445199615264452
view	0.09296178558352172
quick	0.09116490619801108
awesome	0.09056208314001149
reasonable	0.0896727155927046
arlo	0.08639318941571504
needed	0.08575052756257025
highly	0.08527227782618008
maria	0.08489128946260677
quiet	0.0845373670986481
accommodating	0.08326962180068634
double	0.08220784798266664
fast	0.0820003114668336
restaurant	0.08197369691173728
coffee	0.08134714917690848
plenty	0.07999356649746038
complaint	0.0788040294749093
free	0.07864997012188552
convenient	0.07799985299389127
beautiful	0.07724444515347902
peninsula	0.07722662562656607
top	0.07669745526380362
immediately	0.07464985109534408
close	0.07415276258165288
level	0.07405427725929062
visit	0.07361424689059345
rooftop	0.07360172305772295
wall street	0.07313123323776606
note	0.07296098248276306
especially	0.0728150243085146
satisfied	0.07263884605009328
size	0.07178222225052949
queen	0.07176527207377874
new	0.07113661904375053
return	0.07112525701811835
member	0.07069525130388131
exactly	0.07060687608691314
shopping	0.07024598384017733
everyone	0.06876658958493087
efficient	0.06851492648356405
snack	0.06845943250792241
block	0.06761497213216208
fresh	0.06670689945207962
modern	0.06577547673621979
huge	0.0657068661501573
small clean	0.06513208669867565
id	0.0648734631455665
empire	0.0647029438977131
enjoyed stay	0.06433681882073819
except	0.06419929862603377
kitchen	0.0638280257614672
empire state	0.06379362567396579
early	0.06362426678465774
though	0.06320372216054568
recommend	0.06281168718460027
cozy	0.06260223183880748
weekend	0.062419085062303786
pleased	0.062323373856425876
room good	0.06226079283470215
lex	0.06187884255152867
area	0.06116821010700406
welcoming	0.06094565819439306
corner	0.060738341250395754
stay would	0.059955510370687276
upgrade	0.059826448237420504
midtown	0.05959897710824277
